,Product,OrignalPrice,DiscountPrice,Rating,NumUserRating,Occasion,Material,Pattern,Closure Type,Fit,Sleeve Type,Type,Rise Style,Neckline Type,Sold By,Country of Origin
3344,Women Green Solid Satin Wrap Neck Top,"1,799","1,530",5.0,5.0,Party,Polyester,Solid/Plain,Pull On,Normal,Full Sleeves,Regular,N/A,V-Neck,Globus Stores Private Limited_parent,India
3345,Spring Shoots Linen Dress - White,"5,999","4,200",4.5,4.5,Casual,Linen,Solid/Plain,Slip On,Comfortable,Sleeveless,Knee Length,N/A,Notched Lapel,Arsa Enterprises,India
3346,Blue Solid Knee Length Dress,"2,499",975,4.2,4.2,Casual,Denim,Solid/Plain,Button Fly,Relaxed,Three Fourth Sleeves,Knee Length,N/A,Collar Neck,Pants Theory Private Limited,India
3347,Pink Work Ruffled Shirt,"2,790","1,953",4.0,4.0,Work,Polyester,Ruffled,Button Fly,Comfortable,Full Sleeves,Shirts,N/A,Collar Neck,Future Style Lab Limited_gurgaon,India
3348,Black Regular Artwork Halter Bodycon Midi Dress,"10,899","7,085",4.2,4.2,Casual,Blended Fabric,Lace,Zipper,Normal,Sleeveless,Midi,N/A,Halter Neck,Nykaa Fashion Pvt Ltd,China
3349,Max Dry Pants With Colorblock Side Panel And Pockets For Everyday Essentials Air Force,"1,500","1,350",3.8,3.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
3350,White Sequin Shimmer It Real Dress,"4,700","4,465",4.0,4.0,Party,Satin,Embellished/Sequined,Slip On,Fitted,Balloon Sleeve,Mini,N/A,Collar Neck,Atticsalt Creations Pvt. Ltd.,India
3351,Mesh Black Corset Top,"3,999","3,080",NaN,0,Party,Lycra,Solid/Plain,Tie-Ups,Super Slim,Full Sleeves,Regular,N/A,Sweetheart,The Vintage Thread,India
3352,Solid Drawstring Asymmetrical Hem Knit Maxi Skirt,"2,999","2,700",NaN,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,China
3353,Sara- Red Pant Suit With Ruffled Shoulder And Lace Details (set Of 2),"8,200","8,200",4.5,4.5,Work,Crepe,Solid/Plain,Zipper,Tailored,Sleeveless,N/A,N/A,Collar Neck,Ete Clothings,India
3354,Black Smocking Long Dress,"1,999",800,NaN,0,Casual,Rayon,Solid/Plain,Elastic,A-Line,Sleeveless,Midi,N/A,Shoulder Straps,Trend Arrest Clothing Pvt. Ltd._mp,India
3355,Pink Solid Dress,"2,299","1,150",4.0,4.0,Evening,Polyester,Solid/Plain,Zip,Regular,Sleeveless,Maxi,N/A,V-Neck,Trend Arrest Clothing Pvt. Ltd._mp,India
3356,Pearl White Statement Opulent Sleeve Blouse,"1,870","1,403",3.6,3.6,Party,Georgette,Solid/Plain,Slip On,Regular,Full Sleeves,Regular,N/A,One Shoulder,Atticsalt Creations Pvt. Ltd.,India
3357,Corduroy Oversized Button Front Shirt,"1,649","1,485",NaN,0,Travel,Polyester,Solid/Plain,Button Fly,Oversized,Full Sleeves,Shirts,N/A,Collar Neck,Premiere Retail Trading Private Limited,China
3358,Striped Livin Bootcut Pants - Navy Blue,"2,895","2,085",NaN,0,Casual,Nylon,Stripes,Slip On,Comfortable,N/A,N/A,Mid Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
3359,Wide Leg Jeans With Pocket Detail,"1,249","1,249",2.8,2.8,Travel,Cotton,Solid/Plain,N/A,Straight,N/A,N/A,High Waist,N/A,Premiere Retail Trading Private Limited,India
3360,Pink Thea Dress,"5,999","5,999",4.0,4.0,Party,Cotton,Pleated,Button Fly,Comfortable,Balloon Sleeve,Mini,N/A,Collar Neck,Style Island Pvt. Ltd.,India
3361,Black Sleeveless Maxi Dress,"4,299","1,935",4.0,4.0,Festive,Polyester,Embellished/Sequined,N/A,Regular,Sleeveless,Maxi,N/A,Shoulder Straps,Mish Desings Limited,India
3362,Black Textured Rib Crop Top & Slit Skirt Co-Ord (Set of 2),"3,899","2,730",4.1,4.1,Casual,Knitted,Textured,Slip On,Regular,Sleeveless,N/A,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,China
3363,Navy Blue Lace Top Bridesmaid Maxi Dress,"8,699","3,915",4.0,4.0,Casual,Blended Fabric,Lace,Back Closure,Normal,Cap,Maxi,N/A,Crew Neck,Nykaa Fashion Pvt Ltd,China
3364,Women Black Solid Sweater,"3,699",924,5.0,5.0,Casual,Nylon,Solid/Plain,Pull On,Normal,Full Sleeves,N/A,N/A,Turtle Neck,Redtape Limited_parent,Bangladesh
3365,Women Black Hooded Zipper Water Resistant Windcheater,"1,832","1,008",2.9,2.9,Casual,Polyester,Solid/Plain,Zipper,Comfortable,Full Sleeves,Hoodies & Sweatshirts,N/A,Hooded,Sanchi Collections,India
3366,Brown Graphic Oversized T-Shirt,799,799,5.0,5.0,Casual,Cotton,Graphic,N/A,Oversized,Half Sleeves,N/A,N/A,Round Neck,Elcinco Inc,India
3367,Bloom Hot Pink Organza Frill Dress,"8,800","7,480",NaN,0,Semi Formal,Organza,Solid/Plain,Zip,Normal,Sleeveless,Midi,N/A,One Shoulder,Swish Boss Apparels Pvt. Ltd.,India
3368,Twyla Mesh Corset Tee,"1,690","1,690",3.9,3.9,Party,Cotton,Solid/Plain,Zip,Regular,Half Sleeves,Crop Tops,N/A,Crew Neck,Lea Clothing Llp,India
3369,Women Black Side Printed Jogger,"1,799",630,4.3,4.3,Casual,Cotton,Printed,Drawstring,Straight,N/A,N/A,Mid Waist,N/A,Rigo International,India
3370,Grey Cape with Textured Fur Detail,"5,990","2,696",3.9,3.9,Party,Faux Fur,Textured,Front Closure,Normal,Full Sleeves,N/A,N/A,Collar Neck,Kazo Fashion Pvt Ltd_mp,India
3371,Anna Petite One Shoulder Bodycon Dress,"8,600","5,195",4.5,4.5,Party,Polyester,Solid/Plain,Zipper,Normal,Sleeveless,Midi,N/A,One Shoulder,Forever New Apparels Pvt Ltd_parent,Switzerland
3372,Black Solid High Waist Belted Fit And Flare Pant (Set of 2),"3,295","2,636",NaN,0,Party,Blended Fabric,Solid/Plain,Zipper,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,Turkey
3373,Black Cut Out Floral Print Midi Dress,"8,099","5,670",NaN,0,Casual,Blended Fabric,Floral,Back Closure,Normal,Balloon Sleeve,Midi,N/A,High Neck,Nykaa Fashion Pvt Ltd,United Arab Emirates
3374,Black Solid Oversized T-Shirt,999,500,4.2,4.2,Casual,Cotton,Solid/Plain,N/A,Oversized,Half Sleeves,N/A,N/A,Crew Neck,Elcinco Inc,India
3375,Cersie Here To Play Coordinate (Set of 2),"3,300","2,970",NaN,0,Resort/Vacation,Cotton,Printed,Slip On,Comfortable,Balloon Sleeve,N/A,N/A,Plunging Neck,Jaipur Design Factory,India
3376,Flare Sleeve Floral Co-Ord (Set of 2) (S),"2,999","1,020",4.0,4.0,Resort/Vacation,Polyester,Floral,Zipper,Comfortable,Flared Sleeves,N/A,N/A,V-Neck,Khullar Appearls_parent,India
3377,Stretchable Round Neck LivIn T Shirt - Maroon,"1,295",933,3.8,3.8,Work,Cotton,Solid/Plain,N/A,Semi-Fit,Half Sleeves,N/A,N/A,Round Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
3378,Black Printed Collared Top,"2,799","2,240",5.0,5.0,Casual,Viscose,Printed,Pull On,Anti-Fit,Three Fourth Sleeves,Regular,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,Turkey
3379,One Shoulder Chain Ruched Mini Dress,"2,699","2,699",4.8,4.8,Party,Knitted,Solid/Plain,Pull On,Regular,Sleeveless,Mini,N/A,Asymmetrical,Nykaa Fashion Pvt Ltd,China
3380,White Floral Print Halter Maxi Dress,"4,990","4,990",5.0,5.0,Festive,Viscose,Floral,Back Closure,Comfortable,Sleeveless,Maxi,N/A,Halter Neck,Future Style Lab Limited_gurgaon,India
3381,Light Blue Light Wash Jeans,"2,299",920,3.9,3.9,Casual,Denim,Solid/Plain,N/A,Slim,N/A,N/A,High Waist,N/A,Chase Lifestyle Private Limited_kolkatta,India
3382,Women Casual Wine Colour Round Neck Solid Regular Top,"1,499",735,3.9,3.9,Casual,Spandex,Solid/Plain,Pull On,Comfortable,Half Sleeves,Regular,N/A,Round Neck,Epic Brands Pvt Ltd,India
3383,Iconic Go To Travel Pant -NYAT249-Arctic Dusk,"1,799","1,799",4.3,4.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,Bangladesh
3384,Melinda Belted Playsuit (Set of 2),"6,400","2,795",4.3,4.3,Casual,Viscose,Solid/Plain,Slip On,Normal,Sleeveless,Playsuit,N/A,Notched Lapel,Forever New Apparels Pvt Ltd_parent,China
3385,Hot Pink Off Shoulder Crop Top,"1,595","1,276",4.0,4.0,Party,Polyester,Solid/Plain,Slip On,Fitted,Puff Sleeves,Crop Tops,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,India
3386,Women Solid Brown Shirts,"2,499","1,500",NaN,0,Everyday Essentials,Polyester,Solid/Plain,Snap Button,Oversized,Full Sleeves,N/A,N/A,Collar Neck,Aditya Birla Fashion And Retail Ltd (f21 Mp)_parent,India
3387,Lilac One Shoulder Crop Top,995,896,4.7,4.7,Party,Polyester,Solid/Plain,Zipper,Fitted,Sleeveless,Crop Tops,N/A,One Shoulder,Nykaa Fashion Pvt Ltd,India
3388,Yellow Lace Midi Dress,"9,099","4,095",NaN,0,Casual,Blended Fabric,Lace,Zipper,Normal,Half Sleeves,Midi,N/A,High Neck,Nykaa Fashion Pvt Ltd,China
3389,Black And White Wave Printed Casual Shirt,"1,895","1,232",3.7,3.7,Evening,Polyester,Printed,Button Fly,Comfortable,Full Sleeves,N/A,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
3390,Basics Coral Solid Spaghetti Crop Tshirt,"1,095",712,4.4,4.4,Party,Polyester,Solid/Plain,N/A,Fitted,Sleeveless,N/A,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,Turkey
3391,Women Casual Embellished Black Color Mini Dress,"2,899","1,450",3.8,3.8,Party,Georgette,Embellished/Sequined,Back Closure,A-Line,Flared Sleeves,Mini,N/A,High Neck,Epic Brands Pvt Ltd,India
3392,Toni Trim Spliced Tie Neck Blouse,"4,600","4,600",NaN,0,Casual,Polyester,Solid/Plain,Pull On,Normal,Full Sleeves,Regular,N/A,Mandarin Neck,Forever New Apparels Pvt Ltd_parent,China
3393,Gunmetal Solid Faux Leather Mini Party Skirt,"3,995","2,397",4.9,4.9,Party,Faux Leather,Solid/Plain,Zipper,Fitted,N/A,Mini,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
3394,Navy Pleat Shirt,"3,990","3,990",NaN,0,Casual,Polyester,Pleated,Button Fly,Normal,Half Sleeves,N/A,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
3395,"Vintage Black Embroidered Top, Pant, Saree & Jacket GGSKD92 (Set of 4)","9,999","7,000",4.5,4.5,Festive,Blended Fabric,Embroidered,Zipper,Regular,Full Sleeves,N/A,N/A,Scoop Neck,Nykaa Fashion Pvt Ltd,India
3396,Textured Slit Midi Skirt,"2,699","1,890",NaN,0,Casual,Woven,Textured,Zipper,Regular,N/A,Midi,High Waist,N/A,Nykaa Fashion Pvt Ltd,China
3397,Yellow Solid Playsuit,"2,599","1,820",4.1,4.1,Casual,Cotton,Solid/Plain,Slip On,Comfortable,Sleeveless,Playsuit,N/A,Square Neck,Aditya Birla Fashion And Retail Ltd (f21 Mp)_parent,China
3398,Solid Button Up Knotted Middle Sleeve Dress,"4,899","4,410",NaN,0,Casual,Woven,Solid/Plain,Button Fly,Regular,Half Sleeves,Midi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,China
3399,Black Zebra Print Tiered Dress,"2,890","1,445",NaN,0,Casual,Viscose,Animal Print,Pull On,Comfortable,Three Fourth Sleeves,Mini,N/A,V-Neck,Future Style Lab Limited_gurgaon,India
3400,Official Peanuts Beach Day Boyfriend Shirts For Womens,"1,999","1,050",NaN,0,Casual,Cotton,Printed,Button Fly,Normal,Half Sleeves,N/A,N/A,Collar Neck,The Souled Store Private Limited_parent,India
3401,Navy Embroidered Jumpsuit,"4,900","2,450",NaN,0,Casual,Rayon,Embroidered,Zip,Normal,Sleeveless,Jumpsuits,N/A,Strapless/Tube,Reliance Ritu Kumar Private Limited_parent,India
3402,Wrap Style Mid Length Dress,"3,799","2,470",3.0,3.0,Party,Satin,Solid/Plain,Zipper,Normal,Full Sleeves,Midi,N/A,V-Neck,Mish Desings Limited,India
3403,Black Mesh Net Full Sleeve Jumpsuit,"2,999","1,110",5.0,5.0,Party,Polyester,Solid/Plain,Zipper,Comfortable,Full Sleeves,Jumpsuits,N/A,V-Neck,Khullar Appearls_parent,India
3404,Women Black Crew Neck Short Sleeves T-Shirt,"4,490","3,592",4.0,4.0,Casual,Cotton,Embellished/Sequined,N/A,Comfortable,Half Sleeves,N/A,N/A,Crew Neck,Nykaa Fashion Pvt Ltd,India
3405,Black Shimmer Double Strap Wide Leg Jumpsuit,"2,795","2,376",NaN,0,Evening,Chiffon,Textured,Zipper,Comfortable,Sleeveless,Jumpsuits,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
3406,Black/white Fashion Blouse,"1,595",479,3.8,3.8,Casual,Cotton,Checks,Slip On,Comfortable,Bell Sleeves,Blouses,N/A,Off Shoulder,Sandee Clothing Co_mp,India
3407,Cotton Tie-up Sleeves Dress - Olive And White,"3,395","2,377",5.0,5.0,Formal,Linen,Polka Dots,Slip On,Comfortable,Three Fourth Sleeves,Knee Length,N/A,V-Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
3408,Iconic T7 Track Women Black Jackets,"3,999","1,999",4.1,4.1,Casual,Cotton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Puma Sports India Pvt. Ltd -parent,China
3409,Women Round Neck & Short Sleeve Lounge T-Shirt - Black,669,669,4.7,4.7,Everyday Essentials,Blended Fabric,Solid/Plain,N/A,Regular,Half Sleeves,N/A,N/A,Round Neck,Aditya Birla Fashion And Retail Limited_parent,India
3410,Women Solid Off-White Jeans,"3,699","2,220",3.5,3.5,Casual,Cotton,Solid/Plain,N/A,Normal,N/A,N/A,High Waist,N/A,Only Retail Private Limited_parent,India
3411,Black Satin Maxi Dress,"3,999","1,400",3.5,3.5,Evening,Satin,Solid/Plain,Drawstring,A-Line,Sleeveless,Gown,N/A,Shoulder Straps,Paccoperri Fashion House Llp.,India
3412,Women Green Floral Dresses,"1,999",779,3.9,3.9,Casual,Polyester,Floral,Pull On,Normal,Half Sleeves,Midi,N/A,Collar Neck,Krislon Synthetics Pvt Ltd,India
3413,Black Solid Sleeveless Fitted Top,895,716,4.6,4.6,Casual,Polyester,Solid/Plain,Slip On,Fitted,Sleeveless,Regular,N/A,V-Neck,Nykaa Fashion Pvt Ltd,Turkey
3414,Women's 710 Blue Mid Rise Super Skinny Jeans,"2,899","1,305",4.6,4.6,Casual,Blended Fabric,Solid/Plain,N/A,Super Skinny,N/A,N/A,Mid Waist,N/A,Levi Strauss (india) Private Limited_parent,Bangladesh
3415,Women Printed Beige Jumpsuit (Set of 2),"4,999","2,000",NaN,0,Resort/Vacation,Polyester,Printed,Tie-Ups,Normal,Sleeveless,Jumpsuits,N/A,Halter Neck,Vero Moda Retail Pvt. Ltd_parent,India
3416,Pink Halter Neck Floral Pleated Crop Top,"2,595","2,206",5.0,5.0,Casual,Crepe,Floral,Elastic,Fitted,Sleeveless,Crop Tops,N/A,Halter Neck,Nykaa Fashion Pvt Ltd,India
3417,Black Faux Leather Biker Jacket,"4,499","4,050",NaN,0,Casual,Polyester,Solid/Plain,Zipper,Normal,Full Sleeves,Jackets,N/A,Mandarin Neck,Vero Moda Retail Pvt. Ltd_parent,China
3418,Balloon Sleeve Pink Solid Peplum Top,"1,599",799,3.6,3.6,Casual,Viscose,Solid/Plain,Snap Button,Normal,Balloon Sleeve,Regular,N/A,Scoop Neck,Ochre And Black Private Limited_parent,India
3419,Black Halter Neck Elegant Knee Length Bodycon Dress,"1,999","1,000",4.8,4.8,Party,Polyester,Floral,Zipper,A-Line,Sleeveless,Knee Length,N/A,Halter Neck,Variation Design,India
3420,White Scuba Crepe Knot Front BodyconMidi Dress,"4,300","3,440",4.3,4.3,Semi Formal,Polyester,Solid/Plain,Back Closure,Comfortable,Sleeveless,Midi,N/A,Halter Neck,Globali Tradesense Llp,United Kingdom
3421,Women Solid Stylish Casual Dresses,"2,999","1,350",4.5,4.5,Casual,Crepe,Solid/Plain,Slip On,Normal,Half Sleeves,Mini,N/A,Off Shoulder,Campussutra Retail Private Limited_mp,India
3422,Curve White Floral Print Half Sleeve Dress,"2,950","1,623",5.0,5.0,Casual,Georgette,Floral,Zipper,Normal,Half Sleeves,Midi,N/A,Square Neck,High Street Essentials Private Limited_mp,India
3423,Statement Red Dress with Detachable Bow,"5,690","4,552",5.0,5.0,Party,Crepe,Solid/Plain,Zipper,Regular,Sleeveless,Maxi,N/A,Halter Neck,Cacti Designs Pvt Ltd,India
3424,Sweetheart Half Sleeves Printed Long Dress,"7,900","6,320",4.3,4.3,Casual,Chiffon,Floral,Zip,Normal,Half Sleeves,Maxi,N/A,Sweetheart,Reliance Ritu Kumar Private Limited_parent,India
3425,Solids- Fusion Coral Women Boyfriend Shirts,"2,999","1,343",4.5,4.5,Casual,Cotton,Solid/Plain,Button Fly,Boxy,Full Sleeves,N/A,N/A,Collar Neck,The Souled Store Private Limited_parent,India
3426,Bloom Navy Blue Off Shoulder Balloon Sleeve Top and Pants with Inner (Set of 3),"7,800","6,630",NaN,0,Party,Organza,Solid/Plain,Pull On,Normal,Balloon Sleeve,N/A,N/A,Off Shoulder,Swish Boss Apparels Pvt. Ltd.,India
3427,Metallic Navy Blue Parachute Knit Dress,"4,490","4,490",NaN,0,Casual,Polyester,Solid/Plain,Pull On,Normal,Sleeveless,Mini,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,India
3428,Curve Multicolor Floral Printed Casual Shirt,"1,795","1,795",NaN,0,Casual,Polyester,Floral,Front Closure,Comfortable,Full Sleeves,N/A,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
3429,Black Cotton Mix Slim Fit Cropped Trouser,"2,999","2,550",4.8,4.8,Work,Cotton,Solid/Plain,Zipper,Normal,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
3430,Royal Blue Cap Sleeve Crepe Dip Hem Dress (Set of 2),"3,950","3,160",NaN,0,Semi Formal,Crepe,Solid/Plain,Pull On,Comfortable,Cape,Midi,N/A,V-Neck,Globali Tradesense Llp,United Kingdom
3431,Black Beige Colourblocked Net Dress,"2,999","1,979",4.2,4.2,Party,Nylon,Colorblock,Zip,Normal,Sleeveless,Midi,N/A,Round Neck,Krislon Synthetics Pvt Ltd,India
3432,Solids Hot Pink Cotton Women Cropped Top,"1,299",629,4.9,4.9,Casual,Cotton,Solid/Plain,Pull On,Super Slim,Full Sleeves,Crop Tops,N/A,Round Neck,The Souled Store Private Limited_parent,India
3433,Livin Air Leggings - Black,"2,895","1,940",4.0,4.0,Work,Viscose,Solid/Plain,Pull On,Comfortable,N/A,N/A,High Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
3434,Mid Impact Cotton Sports Bra With Removable Cups,"1,200",480,4.0,4.0,Sports,Cotton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
3435,Women Blue Oversized Waffle Knit Sweater,"3,499","1,750",5.0,5.0,Casual,Blended Fabric,Self Design,Slip On,Oversized,Full Sleeves,N/A,N/A,Crew Neck,Aditya Birla Fashion And Retail Limited_parent,India
3436,Fleece Hooded Sweat-nyle222 Beetle Green,"1,599","1,120",3.7,3.7,Casual,Blended Fabric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
3437,Grey Solid Pant,"2,695","1,941",4.1,4.1,Work,Viscose,Solid/Plain,Pull On,Slim,N/A,N/A,Mid Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
3438,Three Fourth Sleeves Floral Print Top and Shorts Co-Ord (set of 2),"2,249","1,237",NaN,0,Resort/Vacation,Polyester,Printed,Drawstring,Normal,Half Sleeves,N/A,N/A,Sweetheart,Premiere Retail Trading Private Limited,China
3439,Women Printed Tube Midi Dress,"3,299","1,155",4.4,4.4,Casual,N/A,Animal Print,Pull On,N/A,Sleeveless,Midi,N/A,Off Shoulder,Vero Moda Retail Pvt. Ltd_parent,India
3440,Orange Crew Neck Ruched Solid Mini Dress,"2,395","1,916",4.5,4.5,Party,Polyester,Solid/Plain,Back Closure,Fitted,Sleeveless,Mini,N/A,Crew Neck,Nykaa Fashion Pvt Ltd,India
3441,Mulan: Fierce Oversized T-Shirts for Womens,"1,499",735,NaN,0,Casual,Cotton,Graphic,N/A,Boxy,Half Sleeves,N/A,N/A,Crew Neck,The Souled Store Private Limited_parent,India
3442,Navy Blue Wide Legged Denim With Button Detail,"3,690","1,661",3.7,3.7,Casual,Denim,Solid/Plain,N/A,Normal,N/A,N/A,Mid Waist,N/A,Kazo Fashion Pvt Ltd_mp,India
3443,White Contrast Topstitched Shirt,"2,240","1,904",4.0,4.0,Casual,Poplin,Solid/Plain,Slip On,Normal,Full Sleeves,Shirts,N/A,Collar Neck,Tll Goat Brand Labs Private Limited,India
3444,Black Solid Tops,"1,399",980,4.0,4.0,Casual,Blended Fabric,Solid/Plain,Pull On,Comfortable,Full Sleeves,Regular,N/A,Round Neck,Aditya Birla Fashion And Retail Ltd (f21 Mp)_parent,India
3445,Wild Flower Top-Green,"2,250","2,138",2.9,2.9,Casual,Chiffon,Solid/Plain,Tie-Ups,Comfortable,N/A,Regular,N/A,V-Neck,Innsaei Designs Llp,India
3446,Oversized Double Breasted Blazer-White,"4,790","3,832",NaN,0,Party,Polyester,Solid/Plain,Front Closure,Tailored,Full Sleeves,Blazer,N/A,Notched Lapel,Cacti Designs Pvt Ltd,India
3447,Safia Mini Dress,"18,399","18,399",NaN,0,Casual,Cotton,Solid/Plain,Pull On,Regular,Sleeveless,Mini,N/A,Asymmetrical,Nykaa Fashion Pvt Ltd,China
3448,Black Striped T-shirt,"1,799","1,170",NaN,0,Casual,Cotton,Stripes,N/A,Normal,Half Sleeves,N/A,N/A,Round Neck,Nykaa Fashion Pvt Ltd,Turkey
3449,White Shimmer Cowl Neck Co Ord Set (Set of 2),"4,295","3,436",NaN,0,Party,Polyester,Textured,Button Fly,Boxy,Sleeveless,N/A,N/A,Cowl Neck,Nykaa Fashion Pvt Ltd,Turkey
3450,Linen Wide Leg Pant - Dusty Pink,"2,795","1,957",3.9,3.9,Everyday Essentials,Linen,Solid/Plain,Zip,N/A,N/A,N/A,High Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
3451,Women Solid Black Pants,"1,999","1,999",4.7,4.7,Casual,Rayon,Solid/Plain,Zipper,Normal,N/A,N/A,High Waist,N/A,Vero Moda Retail Pvt. Ltd_parent,India
3452,Womens Red Tab Brand Logo Crew Neck Sweatshirt,"2,799","1,260",NaN,0,N/A,Cotton,N/A,N/A,N/A,N/A,Hoodies & Sweatshirts,N/A,N/A,Levi Strauss (india) Private Limited_parent,India
3453,Women Black Half Sleeve Mini Dress,"2,899","2,899",5.0,5.0,Party,Nylon,Embellished/Sequined,Pull On,Normal,Half Sleeves,Mini,N/A,Sweetheart,Ikon Retail Private Limited,India
3454,High Waist Pleated Shorts,"2,699","2,699",NaN,0,Casual,Woven,Pleated,Button Fly,Oversized,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,China
3455,Black Paisley Print Shirt,"1,299",663,NaN,0,Casual,Polyester,Printed,Button Fly,Normal,Full Sleeves,N/A,N/A,Collar Neck,Khullar Appearls_parent,India
3456,Yellow Ready For Spring Dress,"3,495","2,796",4.2,4.2,Casual,Polyester,Floral,Zip,Tailored,Sleeveless,N/A,N/A,Strapless/Tube,Nykaa Fashion Pvt Ltd,India
3457,Navy Sequin V Neck Batwing Jumpsuit,"9,250","7,400",NaN,0,Party,Chiffon,Embellished/Sequined,Zipper,Comfortable,Half Sleeves,Jumpsuits,N/A,V-Neck,Globali Tradesense Llp,United Kingdom
3458,Gathered Mini Dress-green,"5,099","2,295",NaN,0,Evening,Polyester,Solid/Plain,Pull On,Skinny,Puff Sleeves,Mini,N/A,Round Neck,Nykaa Fashion Pvt Ltd,China
3459,Chiffon Maxi Dress,"15,199","13,680",NaN,0,Party,Blended Fabric,Embellished/Sequined,Zipper,Normal,Sleeveless,Maxi,N/A,One Shoulder,Nykaa Fashion Pvt Ltd,China
3460,Black Scuba Crepe Buckle Trousers (Set of 2),"3,200","2,560",2.7,2.7,Work,Polyester,Solid/Plain,Pull On,Comfortable,N/A,N/A,High Waist,N/A,Globali Tradesense Llp,United Kingdom
3461,Women V-Neck & Short Sleeve Lounge T-Shirt - Black,599,599,4.2,4.2,Everyday Essentials,Blended Fabric,Solid/Plain,N/A,Regular,Half Sleeves,N/A,N/A,V-Neck,Aditya Birla Fashion And Retail Limited_parent,India
3462,Women Blue Cropped Flannel,"2,999","1,500",3.9,3.9,Casual,Cotton,Checks,Button Fly,Oversized,Full Sleeves,N/A,N/A,Collar Neck,Aditya Birla Fashion And Retail Limited_parent,Vietnam
3463,Blue Floral Wedding Mermaid Long Dress,"2,799","1,400",3.6,3.6,Party,Polyester,Floral,Zipper,A-Line,Puff Sleeves,Gown,N/A,Boat Neck,Variation Design,India
3464,Black Unicorn Patch Shirt,"4,500","3,825",2.6,2.6,Semi Formal,Cotton,Embellished/Sequined,Front Closure,Oversized,Balloon Sleeve,N/A,N/A,Collar Neck,Swish Boss Apparels Pvt. Ltd.,India
3465,Extra Wide Leg Denim - Light Blue,"3,799","3,420",NaN,0,Casual,Cotton,Solid/Plain,N/A,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,Turkey
3466,Riri Play & Splash Shirt,"2,250","2,025",2.7,2.7,Casual,Cotton,Printed,Button,Comfortable,Full Sleeves,N/A,N/A,Collar Neck,Jaipur Design Factory,India
3467,Slip Dress with Asymmetrical Gather Detail & Detachable Straps (Set of 2),"4,990","3,992",NaN,0,Party,Polyester,Solid/Plain,Zipper,Regular,Sleeveless,Knee Length,N/A,Strapless/Tube,Cacti Designs Pvt Ltd,India
3468,Black Solid Top,"1,649",660,4.0,4.0,Evening,Velvet,Solid/Plain,Button Fly,Relaxed,N/A,Regular,N/A,High Neck,Chase Lifestyle Private Limited_kolkatta,India
3469,Pink Floral Smocked Top and Ruffled Mini Skirt (Set of 2),"2,950","1,180",5.0,5.0,Casual,Georgette,Floral,Tie-Ups,Normal,Puff Sleeves,N/A,N/A,Square Neck,High Street Essentials Private Limited_mp,India
3470,White Floral Printed Square Neck Peplum Top,"2,395","1,557",5.0,5.0,Casual,Rayon,Floral,Slip On,Comfortable,Three Fourth Sleeves,Regular,N/A,Square Neck,Nykaa Fashion Pvt Ltd,India
